city,lat,lng,country,admin_name,population
El Golea,30.5833,2.8833,Algeria,El Meniaa,40195
Magra,35.6,5.0667,Algeria,M’sila,39250
Staoueli,36.75,2.8833,Algeria,Tipaza,38915
Draa el Mizan,36.5333,3.8333,Algeria,Bouira,38886
Emîr Abdelkader,36.75,5.8333,Algeria,Jijel,38468
Bougara,36.5333,3.0833,Algeria,Blida,38352
Souma,36.5183,2.9053,Algeria,Blida,37461
Ouled Beni Messous,36.7833,2.9833,Algeria,Tipaza,36191
Collo,37.0056,6.5603,Algeria,Skikda,35682
Tebesbest,33.1167,6.0833,Algeria,Ouargla,35032
Aïn Taya,36.7917,3.2889,Algeria,Alger,34501
Beni Tamou,36.5333,2.8167,Algeria,Blida,33846
Ghazaouet,35.1,-1.85,Algeria,Tlemcen,33774
Didouche Mourad,36.45,6.6333,Algeria,Constantine,33266
El Arrouch,36.6531,6.8364,Algeria,Skikda,33085
Timimoun,29.2628,-0.2389,Algeria,Timimoun,33060
Aïn el Bya,35.8167,-0.2833,Algeria,Oran,32611
I-n-Salah,27.195,2.4833,Algeria,In Salah,32518
Bougaa,36.3333,5.0833,Algeria,Sétif,31922
Draa Ben Khedda,36.7333,3.9667,Algeria,Boumerdes,31382
Boghni,36.55,3.95,Algeria,Tizi Ouzou,31263
Birtouta,36.65,3,Algeria,Tipaza,30575
Chabet el Ameur,36.6333,3.7,Algeria,Boumerdes,30223
Tizi Gheniff,36.5833,3.7667,Algeria,Boumerdes,29409
L’Arbaa Naït Irathen,36.6367,4.2067,Algeria,Tizi Ouzou,29376
Ouled Haddaj,36.72,3.35,Algeria,Boumerdes,29012
Tazmalt,36.3844,4.3992,Algeria,Bouira,28891
Mouzaïa,36.4667,2.6833,Algeria,Tipaza,28552
Sidi Lakhdar,36.2653,2.1617,Algeria,Aïn Defla,28361
Isser,36.716,3.666,Algeria,Boumerdes,27990
Bordj el Bahri,36.8167,3.2333,Algeria,Alger,27900
Ouled Fayet,36.7333,2.95,Algeria,Tipaza,27593
Ouled Slama Tahta,36.5483,3.11,Algeria,Blida,27573
El Abadia,36.2667,1.6833,Algeria,Aïn Defla,27185
Zemmouri,36.7833,3.6,Algeria,Boumerdes,26408
Kaous,36.7702,5.8136,Algeria,Jijel,26137
El Tarf,36.767,8.317,Algeria,El Tarf,25594
Tipasa,36.5919,2.4494,Algeria,Tipaza,25225
Beni Amrane,36.6667,3.5833,Algeria,Boumerdes,23621
Illizi,26.505,8.4822,Algeria,Illizi,17252
Bordj Mokhtar,21.3289,0.9542,Algeria,Bordj Badji Mokhtar,16437
Naama,33.2622,-0.3144,Algeria,Naama,16251
Djanet,24.555,9.4853,Algeria,Djanet,14655
Beni Abbès,30.08,-2.1,Algeria,Béni Abbès,10885
In Guezzam,19.5686,5.7722,Algeria,In Guezzam,7045
